day,date,ticker,action,shares,price
1,2026-07-26,ALPH,buy,19.5980,102.0511
1,2026-07-26,BETA,buy,20.0287,99.8567
1,2026-07-26,GAMA,buy,20.1059,99.4735
1,2026-07-26,DELT,buy,20.0026,99.9872
1,2026-07-26,OMEG,buy,20.0368,99.8163
2,2026-07-26,ALPH,sell,0.1279,103.1627
2,2026-07-26,BETA,buy,0.0587,99.9926
2,2026-07-26,GAMA,buy,0.0746,99.5314
2,2026-07-26,DELT,sell,0.3191,102.0443
2,2026-07-26,OMEG,buy,0.2779,98.8738
3,2026-07-26,ALPH,sell,19.4701,102.9694
3,2026-07-26,BETA,sell,20.0873,100.0437
3,2026-07-26,GAMA,sell,20.1804,98.3823
3,2026-07-26,DELT,sell,19.6835,102.0564
3,2026-07-26,OMEG,buy,81.5926,98.1537
