day,date,ticker,action,shares,price
1,2026-07-26,ALPH,buy,23.1212,102.0511
1,2026-07-26,BETA,buy,27.5008,99.8567
1,2026-07-26,GAMA,buy,15.2465,99.4735
1,2026-07-26,DELT,buy,2.3860,99.9872
1,2026-07-26,OMEG,buy,10.3978,99.8163
2,2026-07-26,ALPH,sell,14.1562,103.1627
2,2026-07-26,BETA,sell,18.8136,99.9926
2,2026-07-26,GAMA,buy,13.3165,99.5314
2,2026-07-26,DELT,buy,21.5005,102.0443
2,2026-07-26,OMEG,sell,1.6276,98.8738
3,2026-07-26,ALPH,buy,10.4613,102.9694
3,2026-07-26,BETA,buy,11.8417,100.0437
3,2026-07-26,GAMA,sell,3.4961,98.3823
3,2026-07-26,DELT,sell,16.7180,102.0564
3,2026-07-26,OMEG,buy,1.9382,98.1537
