day,date,Buy & Hold,Momentum,Mean Reversion,Equal Weight Rebalancer,Random Walker
1,2026-07-26,9995.00,9995.00,9995.00,9995.00,9996.05
2,2026-07-26,10042.93,10103.92,10042.89,10042.89,10017.97
3,2026-07-26,10002.88,10085.00,9994.57,10002.55,9975.58
4,2026-07-27,10091.39,10044.67,10312.12,10091.63,10015.19
5,2026-07-28,10037.25,9755.01,10162.79,10035.91,9996.32
6,2026-07-29,10181.96,10112.60,10302.12,10181.30,10139.67
7,2026-07-30,10234.00,10013.11,10190.45,10233.53,10178.64
8,2026-07-31,10211.28,9818.77,10155.74,10205.16,10105.99
9,2026-08-01,10185.74,9584.26,10148.46,10171.87,10067.75
10,2026-08-02,10138.28,9582.82,10146.93,10125.45,10023.84
