day,date,ALPH,BETA,GAMA,DELT,OMEG
1,2026-07-26,102.0511,99.8567,99.4735,99.9872,99.8163
2,2026-07-26,103.1627,99.9926,99.5314,102.0443,98.8738
3,2026-07-26,102.9694,100.0437,98.3823,102.0564,98.1537
4,2026-07-27,102.5577,99.7129,98.8374,103.6369,101.2699
5,2026-07-28,99.6002,99.6083,98.2255,105.9166,99.9032
6,2026-07-29,103.2513,99.7320,99.6705,107.6401,100.2605
7,2026-07-30,102.2355,99.7646,101.5411,108.1689,101.4135
8,2026-07-31,100.2512,99.4252,98.9599,112.2207,101.1052
9,2026-08-01,97.8568,99.4534,98.6783,115.2389,99.4135
10,2026-08-02,97.8421,99.6125,97.5910,114.4562,98.7729
11,2026-08-03,98.1357,99.9935,99.1538,117.4999,97.6371
12,2026-08-04,99.4572,101.0776,98.9047,118.9152,97.5818
13,2026-08-05,98.2332,101.8594,99.5880,121.0276,96.7799
14,2026-08-07,96.6850,101.3592,99.2209,122.5404,96.6699
15,2026-08-08,96.9712,102.3746,100.5363,121.5242,97.4289
16,2026-08-09,99.8463,101.9568,99.3152,121.7113,95.8680
17,2026-08-10,98.7217,100.9938,97.8472,122.1704,95.6685
18,2026-08-11,98.9230,100.5526,97.4943,121.0413,95.9250
19,2026-08-12,99.6670,100.3304,98.5730,121.3264,96.7623
20,2026-08-13,99.5243,99.8264,98.8002,121.9186,96.4012
21,2026-08-14,100.6890,100.0000,97.6453,124.3227,95.5125
22,2026-08-15,98.8996,100.6754,99.5165,123.9552,95.4630
23,2026-08-16,98.2635,101.0262,97.8986,124.0136,94.6745
24,2026-08-17,98.4842,100.2197,97.7043,120.6092,95.6190
25,2026-08-18,97.1430,100.1974,96.8745,118.6046,96.3574
